Program Facility Name_x,Locality_x,County_x,Contributing Factor_x,Source_x,Material Name_x,Material Family_x,Year_x,Unrecovered Amount_x,Program Facility Name_y
CON ED SUBSATION,QUEENS,Queens,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2019.0,837.0,CON ED SUBSATION
CON ED SUBSATION,QUEENS,Queens,Equipment Failure,Transformer,dielectric fluid,Petroleum,2022.0,100.0,CON ED SUBSATION
CON ED SUBSTATION EAST 13TH ST,MANHATTAN,New York,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2011.0,200.0,CON ED SUBSTATION EAST 13TH ST
CON ED SUBSTATION FEEDER CABLE,MANHATTAN,New York,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2018.0,275.0,CON ED SUBSTATION FEEDER CABLE
CON ED SUBSTATION FEEDER,BROOKLYN,Kings,Equipment Failure,Transformer,dielectric fluid,Petroleum,2019.0,780.0,CON ED SUBSTATION FEEDER
CON ED SUBSTATION TRANSFORMER,BROOKLYN,Kings,Equipment Failure,Commercial/Industrial,transformer oil,Petroleum,2008.0,2000.0,CON ED SUBSTATION TRANSFORMER
CON ED SUBSTATION,YONKERS,Bronx,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2016.0,210.0,CON ED SUBSTATION
CON ED SUBSTATION,MANHATTAN,New York,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2016.0,1430.0,CON ED SUBSTATION
CON ED TRANSMISSION FEEDER PIPE Y50,MOUNT VERNON,Westchester,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2023.0,1976.0,CON ED TRANSMISSION FEEDER PIPE Y50
CON ED TUNNEL,QUEENS,Queens,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2009.0,150.0,CON ED TUNNEL
CON ED U/G FEEDER 71,Other,Bronx,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2019.0,185.0,CON ED U/G FEEDER 71
CON ED UNDERGROUND TRANSFORMER 2849,BROOKLYN,Kings,Equipment Failure,Transformer,dielectric fluid,Petroleum,2019.0,150.0,CON ED UNDERGROUND TRANSFORMER 2849
CON ED VAULT 8957,Other,Westchester,Equipment Failure,Transformer,dielectric fluid,Petroleum,2016.0,125.0,CON ED VAULT 8957
CON ED VAULT AND ST,BRONX,Bronx,Unknown,Commercial/Industrial,dielectric fluid,Petroleum,2018.0,100.0,CON ED VAULT AND ST
CON ED VAULT TM572,WHITE PLAINS,Westchester,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2004.0,335.0,CON ED VAULT TM572
CON ED VAULT,MANHATTAN,New York,Unknown,Commercial/Industrial,antifreeze,Other,2010.0,500.0,CON ED VAULT
CON ED VAULT,WHITE PLAINS,Westchester,Equipment Failure,Commercial/Industrial,transformer oil,Petroleum,2013.0,150.0,CON ED VAULT
CON ED VAULT,Other,Westchester,Equipment Failure,Transformer,dielectric fluid,Petroleum,2014.0,500.0,CON ED VAULT
CON ED VAULT,YONKERS,Westchester,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2011.0,400.0,CON ED VAULT
CON ED VAULT# TM470,BROOKLYN,Kings,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2004.0,200.0,CON ED VAULT# TM470
CON ED VAULTED TRANSFORMER,YONKERS,Westchester,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2022.0,500.0,CON ED VAULTED TRANSFORMER
CON ED VERNON SUBSTATION,QUEENS,Queens,Equipment Failure,Commercial/Industrial,transformer oil,Petroleum,2013.0,140.0,CON ED VERNON SUBSTATION
CON ED Y-50 U/G TRANSMISSION LINE,MOUNT VERNON,Westchester,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2020.0,975.0,CON ED Y-50 U/G TRANSMISSION LINE
CON ED Y50 FEEDER LEAK RATE 2.5 GAL PER HOUR,YONKERS,Westchester,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2024.0,1812.0,CON ED Y50 FEEDER LEAK RATE 2.5 GAL PER HOUR
CON ED Y50 FEEDER LEAK,MOUNT VERNON,Westchester,Equipment Failure,"Institutional, Educational, Gov., Other",dielectric fluid,Petroleum,2024.0,507.0,CON ED Y50 FEEDER LEAK
CON ED Y50 FEEDER LEAK,YONKERS,Westchester,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2024.0,1359.0,CON ED Y50 FEEDER LEAK
CON ED Y50 FEEDER LEAK,MOUNT VERNON,Westchester,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2024.0,3015.0,CON ED Y50 FEEDER LEAK
CON ED Y50 FEEDER LEAK,YONKERS,Westchester,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2024.0,985.0,CON ED Y50 FEEDER LEAK
CON ED Y50 FEEDER LEAK,YONKERS,Westchester,Equipment Failure,"Institutional, Educational, Gov., Other",dielectric fluid,Petroleum,2024.0,1654.0,CON ED Y50 FEEDER LEAK
CON ED Y50 FEEDER LOSS,MOUNT VERNON,Westchester,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2023.0,1850.0,CON ED Y50 FEEDER LOSS
CON ED Y50 FEEDER VAULT,NEW ROCHELLE,Westchester,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2021.0,60000.0,CON ED Y50 FEEDER VAULT
CON ED Y50 U/G FEEDER,YONKERS,Westchester,Equipment Failure,Railroad Car,dielectric fluid,Petroleum,2025.0,1152.0,
CON ED Y71 FEEDER LEAK,YONKERS,Bronx,Unknown,Commercial/Industrial,dielectric fluid,Petroleum,2024.0,560.0,CON ED Y71 FEEDER LEAK
CON ED Y72 DUNWOODIE TO MOTTHAVEN,BRONX,Bronx,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2022.0,685.0,CON ED Y72 DUNWOODIE TO MOTTHAVEN
CON ED Y72 FEEDER LEAK,YONKERS,Westchester,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2024.0,420.0,CON ED Y72 FEEDER LEAK
CON ED,QUEENS,Queens,Equipment Failure,Commercial/Industrial,freon,Other,2015.0,120.0,CON ED
CON ED,MANHATTAN,New York,Other,Commercial/Industrial,transformer oil,Petroleum,2005.0,360.0,CON ED
CON ED,WHITE PLAINS,Westchester,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2008.0,300.0,CON ED
CON ED,Other,Westchester,Storm,Transformer,transformer oil,Petroleum,2019.0,100.0,CON ED
CON ED,QUEENS,Queens,Equipment Failure,Transformer,dielectric fluid,Petroleum,2020.0,100.0,CON ED
